,Unnamed: 0,TIC ID,ExoFOP-TESS,Sectors,Epoch [BJD],Period [Days],Duration [Hours],Depth [ppm],Depth [%],Rtranister [RJup],Rstar [RSun],Tmag,Delta Tmag,Paper disp (LC),Paper comm
328,343,86396382,https://exofop.ipac.caltech.edu/tess/target.php?id=86396382,20,1843.0049999998882,1.09141,0.12333333333333334,15542.0,1.55,1.99,1.75,11.0967,4.52,0,"WASP-12 b, Occ"
330,345,88684250,https://exofop.ipac.caltech.edu/tess/target.php?id=88684250,7,1494.7340000001714,4.58776,0.18999999999999997,3870.0,0.39,1.05,1.86,10.0998,6.03,1,
331,346,88863718,https://exofop.ipac.caltech.edu/tess/target.php?id=88863718,7,1492.8390000001527,1.9321700000000002,0.14375000000000002,980.0,0.1,0.52,2.01,9.42344,7.52,1,"FSCP,Vshape"
332,347,88977253,https://exofop.ipac.caltech.edu/tess/target.php?id=88977253,7,1492.7080000001006,2.767691,0.07833333333333332,22690.0,2.27,2.59,1.55,12.33,4.11,1,LCMOD
333,348,88996391,https://exofop.ipac.caltech.edu/tess/target.php?id=88996391,25,1985.9509999998845,2.319456,0.08458333333333333,19882.0,1.99,1.18,0.63,11.9441,4.25,1,"Vshape,pTD"
335,350,89256802,https://exofop.ipac.caltech.edu/tess/target.php?id=89256802,4,1411.5609999997541,1.176044,0.04083333333333333,15115.0,1.51,0.25,0.18,13.741,4.55,1,
336,351,89389197,https://exofop.ipac.caltech.edu/tess/target.php?id=89389197,14,1684.6299999998882,1.32047,0.049166666666666664,850.0,0.09,3.73,6.44,8.908,7.68,0,NT
337,352,89510024,https://exofop.ipac.caltech.edu/tess/target.php?id=89510024,14,1683.7369999997318,2.3654900000000003,0.07375,490.0,0.05,0.0,0.0,9.577,8.27,0,NT
338,354,89643259,https://exofop.ipac.caltech.edu/tess/target.php?id=89643259,14,1684.2050000000745,2.2222299999999997,0.09916666666666667,3035.0,0.3,1.99,3.68,10.4813,6.29,0,"Vshape,extra,triple system?"
339,355,89759617,https://exofop.ipac.caltech.edu/tess/target.php?id=89759617,"14,15",1685.6030000001192,3.3304099999999996,0.16583333333333333,3630.0,0.36,2.57,2.35,10.4806,6.10,0,"NT,CO"
340,357,90504905,https://exofop.ipac.caltech.edu/tess/target.php?id=90504905,14,1685.6129999998957,2.264539,0.15916666666666665,15020.0,1.5,0.46,0.41,13.7991,4.56,1,"SPR,LOWSNR"
341,358,90544017,https://exofop.ipac.caltech.edu/tess/target.php?id=90544017,9,1519.0449999999255,3.2237400000000003,0.09375,570.0,0.06,0.0,0.0,8.7157,8.11,0,"CO,pSS,LOWSNR"
347,366,92677094,https://exofop.ipac.caltech.edu/tess/target.php?id=92677094,14,1684.086999999825,4.59463,0.19166666666666665,4190.0,0.42,1.23,2.12,10.4247,5.94,1,
348,367,92783821,https://exofop.ipac.caltech.edu/tess/target.php?id=92783821,"14,15",1685.1859999997541,3.86283,0.05125,1700.0,0.17,0.98,2.45,10.2115,6.92,0,"pCO, FFI bad, Vshape"
350,369,92992033,https://exofop.ipac.caltech.edu/tess/target.php?id=92992033,6,1470.6019999999553,4.90765,0.15625,810.0,0.08,1.18,5.01,10.2339,7.73,0,"LOWSNR,CO"
351,370,93125144,https://exofop.ipac.caltech.edu/tess/target.php?id=93125144,6,1472.9599999999627,9.911019999999999,0.12416666666666666,6044.0,0.6,0.69,0.94,9.579001,5.55,0,"NT,LCMOD"
